Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
China,2024.1748173170504,SQL Injection,Telecommunications,,318.0,Unknown,Weak Passwords,Antivirus,342.0
China,2023.897020836732,SQL Injection,IT,395.0,391.0,Hacker Group,Zero-day,Encryption,364.0
Australia,2022.1018146061608,Ransomware,Government,438.0,409.0,Nation-state,Unpatched Software,Encryption,438.0
Brazil,2023.070243238286,SQL Injection,Healthcare,423.0,380.0,Unknown,Social Engineering,Firewall,455.0
USA,2019.1809627148416,DDoS,Telecommunications,251.0,315.0,Nation-state,Unpatched Software,VPN,275.0
Japan,2014.712655834908,Malware,Healthcare,207.0,245.0,Unknown,Social Engineering,Firewall,394.0
Russia,2020.059126417893,Man-in-the-Middle,IT,219.0,255.0,Unknown,Zero-day,Antivirus,306.0
Russia,2019.782244817844,Man-in-the-Middle,Telecommunications,325.0,351.0,Hacker Group,Unpatched Software,Antivirus,363.0
Unknown,2016.738077204464,DDoS,IT,209.0,252.0,Unknown,Unpatched Software,Unknown,346.0
Australia,2021.9400317876368,Phishing,Government,406.0,354.0,Nation-state,Social Engineering,VPN,459.0
France,2017.1059146359755,Man-in-the-Middle,Education,300.0,328.0,Hacker Group,Social Engineering,Firewall,409.0
Japan,2022.9790128482084,Phishing,Banking,336.0,330.0,Hacker Group,Social Engineering,VPN,343.0
UK,2024.1098017528668,Malware,Healthcare,344.0,331.0,Unknown,Zero-day,Firewall,343.0
China,2022.8139168350635,SQL Injection,Telecommunications,344.0,359.0,Hacker Group,Social Engineering,VPN,331.0
France,2017.9645069982607,Malware,IT,211.0,263.0,Nation-state,Zero-day,AI-based Detection,312.0
Australia,2015.8391330458007,Malware,Retail,153.0,243.0,Nation-state,Unpatched Software,Firewall,284.0
France,2020.8789516368297,Man-in-the-Middle,Unknown,241.0,267.0,Insider,Social Engineering,Encryption,304.0
India,2017.0576178874844,Ransomware,Government,193.0,270.0,Unknown,Unknown,Antivirus,270.0
Russia,2017.9329658683305,Man-in-the-Middle,Government,238.0,291.0,Nation-state,Weak Passwords,Encryption,326.0
Japan,2021.4294813707827,Phishing,Banking,434.0,468.0,Insider,Zero-day,Antivirus,350.0
USA,2015.9023438133988,Phishing,Retail,241.0,305.0,Insider,Zero-day,VPN,362.0
France,2018.0000215490168,Malware,IT,223.0,311.0,Insider,Weak Passwords,VPN,264.0
Russia,2021.969944206768,Malware,Healthcare,364.0,383.0,Insider,Unknown,Encryption,333.0
USA,2022.07036084678,Phishing,Government,287.0,,Hacker Group,Social Engineering,Firewall,
UK,2015.942009863572,Man-in-the-Middle,Government,287.0,318.0,Hacker Group,Unpatched Software,Encryption,
Germany,2018.05061230231,DDoS,Banking,270.0,312.0,Hacker Group,Unpatched Software,VPN,366.0
USA,2015.959019563157,Malware,Retail,235.0,299.0,Unknown,Unpatched Software,VPN,352.0
China,2020.8901846903584,SQL Injection,Healthcare,231.0,301.0,Nation-state,Zero-day,VPN,230.0
Russia,,DDoS,Education,287.0,,Hacker Group,Weak Passwords,Firewall,297.0
Australia,2015.287465888909,Man-in-the-Middle,Education,167.0,199.0,Hacker Group,Social Engineering,Encryption,382.0
Brazil,2022.826714299784,DDoS,Government,406.0,406.0,Unknown,Zero-day,VPN,354.0
Japan,2018.0849327603976,Ransomware,Unknown,176.0,221.0,Unknown,Zero-day,AI-based Detection,312.0
Brazil,2020.755533953061,Unknown,Government,429.0,420.0,Insider,Social Engineering,Firewall,439.0
France,2019.9516757099864,Malware,Banking,174.0,254.0,Insider,Unpatched Software,Firewall,212.0
Unknown,2014.743353399769,SQL Injection,Education,74.0,164.0,Nation-state,Social Engineering,VPN,267.0
Japan,2016.0838961708496,DDoS,Education,185.0,239.0,Nation-state,Social Engineering,Encryption,321.0
Unknown,2024.237949679908,Unknown,Education,365.0,359.0,Hacker Group,Social Engineering,AI-based Detection,332.0
Australia,2023.0254369423865,Malware,Retail,397.0,439.0,Nation-state,Unpatched Software,Encryption,305.0
UK,2023.8280499096315,Phishing,Banking,287.0,318.0,Hacker Group,Unpatched Software,VPN,
UK,2020.0638280029327,Phishing,Healthcare,389.0,371.0,Hacker Group,Zero-day,Antivirus,446.0
China,2016.104725493935,DDoS,Telecommunications,104.0,216.0,Insider,Social Engineering,AI-based Detection,205.0
India,2023.9304799806785,Ransomware,IT,287.0,318.0,Insider,Unpatched Software,Antivirus,
Russia,2018.204619259592,DDoS,IT,280.0,325.0,Insider,Social Engineering,VPN,353.0
Unknown,2024.0475540816524,DDoS,IT,414.0,409.0,Insider,Social Engineering,Encryption,372.0
China,2021.021651387612,Ransomware,Education,268.0,293.0,Hacker Group,Weak Passwords,AI-based Detection,303.0
Brazil,2023.907566514816,Man-in-the-Middle,Education,287.0,481.0,Nation-state,Weak Passwords,Firewall,
France,2019.217118837391,Ransomware,Government,287.0,,Unknown,Weak Passwords,AI-based Detection,342.0
Australia,2022.2306789469912,Phishing,Healthcare,,,Insider,Unpatched Software,Antivirus,342.0
China,2020.849019861619,Ransomware,Healthcare,264.0,324.0,Unknown,Social Engineering,Firewall,255.0
Australia,2018.1368652365888,Ransomware,Unknown,321.0,353.0,Insider,Unpatched Software,Antivirus,393.0
USA,2016.9308224153745,DDoS,Healthcare,234.0,233.0,Insider,Zero-day,VPN,420.0
Brazil,,Ransomware,Education,287.0,318.0,Nation-state,Zero-day,Firewall,464.0
India,2021.916235263163,Man-in-the-Middle,Retail,363.0,396.0,,Social Engineering,Antivirus,348.0
Australia,2016.087194347873,Malware,Government,257.0,264.0,Nation-state,Zero-day,Firewall,454.0
Unknown,2021.9349789221465,Malware,Retail,296.0,333.0,Unknown,Zero-day,,292.0
India,2022.899638328068,SQL Injection,Government,287.0,318.0,Unknown,Zero-day,VPN,
Germany,2018.7740045348912,Malware,Healthcare,220.0,274.0,Hacker Group,Weak Passwords,Antivirus,307.0
China,2021.0124385847216,SQL Injection,IT,325.0,329.0,Nation-state,Weak Passwords,VPN,392.0
India,2019.7545057376296,Phishing,Healthcare,280.0,357.0,Hacker Group,Weak Passwords,Encryption,280.0
China,2020.1852556076333,Man-in-the-Middle,Education,322.0,285.0,Unknown,Unpatched Software,Unknown,459.0
Japan,2016.980866007587,Phishing,Government,120.0,233.0,Hacker Group,Zero-day,AI-based Detection,202.0
India,2014.901888307088,Man-in-the-Middle,Telecommunications,170.0,267.0,Nation-state,Zero-day,AI-based Detection,287.0
Japan,2023.0678908114528,Man-in-the-Middle,Education,249.0,316.0,Insider,Zero-day,VPN,214.0
China,2018.875779653912,Ransomware,Government,289.0,344.0,Unknown,Zero-day,Encryption,317.0
India,2018.2809999121207,SQL Injection,Healthcare,287.0,228.0,Insider,Social Engineering,Firewall,342.0
Russia,2018.8760058650369,Man-in-the-Middle,IT,,312.0,Unknown,Zero-day,VPN,342.0
UK,2015.0565723328048,Man-in-the-Middle,Unknown,226.0,298.0,Unknown,Social Engineering,Firewall,345.0
Brazil,2016.1216626448804,DDoS,Telecommunications,202.0,280.0,Unknown,Social Engineering,VPN,312.0
China,2022.997982845156,Ransomware,IT,259.0,323.0,Nation-state,Weak Passwords,Encryption,214.0
China,2018.0391057998288,Ransomware,Education,287.0,260.0,Insider,Social Engineering,VPN,342.0
France,2021.789154580689,Phishing,Retail,390.0,379.0,Hacker Group,Unpatched Software,VPN,419.0
Japan,2021.0141415881544,Man-in-the-Middle,,469.0,394.0,Nation-state,Unpatched Software,AI-based Detection,552.0
USA,2019.8949156232227,Man-in-the-Middle,IT,303.0,377.0,Nation-state,Unpatched Software,Antivirus,304.0
UK,2019.834638357484,SQL Injection,Retail,287.0,321.0,Insider,Social Engineering,VPN,342.0
USA,2019.8447405752568,Ransomware,Unknown,287.0,,Nation-state,Weak Passwords,Antivirus,258.0
China,2023.9306823133609,DDoS,Unknown,300.0,369.0,Nation-state,Unknown,Antivirus,210.0
Brazil,2020.1611754465744,Phishing,Retail,297.0,335.0,Insider,Unknown,VPN,334.0
France,2020.063080085745,SQL Injection,Healthcare,237.0,283.0,Insider,Zero-day,AI-based Detection,273.0
UK,2019.7872966371167,Phishing,Healthcare,337.0,341.0,Nation-state,Social Engineering,Firewall,406.0
Brazil,2017.0790792070368,SQL Injection,Telecommunications,328.0,309.0,Nation-state,Social Engineering,VPN,501.0
UK,2017.308226783128,Malware,Healthcare,256.0,277.0,Unknown,Social Engineering,Antivirus,378.0
UK,2014.74695795147,,Telecommunications,132.0,218.0,Nation-state,Unpatched Software,VPN,296.0
USA,2018.1297957205147,Phishing,Banking,,318.0,Insider,Zero-day,VPN,
Australia,2015.8832460613453,Phishing,Government,271.0,296.0,Hacker Group,Social Engineering,Firewall,406.0
Australia,2015.9919133271903,Man-in-the-Middle,Education,287.0,318.0,Unknown,Zero-day,Firewall,342.0
USA,2021.177177847584,Phishing,IT,260.0,268.0,Insider,Zero-day,Unknown,319.0
France,2022.88960819955,Man-in-the-Middle,Government,516.0,445.0,Unknown,Zero-day,Firewall,526.0
Japan,2017.1363527399471,DDoS,Healthcare,253.0,298.0,Nation-state,Social Engineering,AI-based Detection,350.0
Germany,2023.9548222309493,Man-in-the-Middle,Banking,413.0,467.0,Nation-state,Zero-day,Firewall,287.0
France,2023.0337136030305,Phishing,Education,541.0,510.0,Insider,Weak Passwords,Firewall,470.0
Germany,2019.847231354016,Man-in-the-Middle,IT,239.0,307.0,Unknown,Zero-day,Antivirus,261.0
Russia,2023.0389113627205,SQL Injection,Retail,326.0,350.0,Unknown,Weak Passwords,Firewall,300.0
Australia,,Ransomware,IT,287.0,318.0,Insider,Weak Passwords,Firewall,312.0
Australia,2016.1156388242705,Unknown,Healthcare,295.0,315.0,Nation-state,Zero-day,AI-based Detection,417.0
Germany,2015.1583643317656,Man-in-the-Middle,Retail,260.0,269.0,Hacker Group,Zero-day,Antivirus,454.0
Japan,2022.7946976071569,SQL Injection,Telecommunications,276.0,265.0,Nation-state,Unpatched Software,AI-based Detection,336.0
UK,2015.8669126211173,DDoS,Telecommunications,116.0,163.0,Hacker Group,Unpatched Software,Firewall,327.0
USA,2023.121194814992,Ransomware,Healthcare,287.0,421.0,Insider,Social Engineering,Encryption,
USA,2018.1109624732628,DDoS,Banking,230.0,261.0,Hacker Group,Social Engineering,AI-based Detection,343.0
France,2016.0730402419788,Man-in-the-Middle,Healthcare,,,Unknown,Weak Passwords,Antivirus,
Russia,2021.8682357467244,Man-in-the-Middle,IT,248.0,277.0,Insider,Unpatched Software,Encryption,279.0
Japan,2020.887828129556,Man-in-the-Middle,Education,360.0,406.0,Nation-state,Social Engineering,Firewall,308.0
France,2014.7413736987853,Malware,Government,205.0,229.0,Unknown,Weak Passwords,Antivirus,429.0
,2017.1770420977032,Ransomware,Education,130.0,221.0,Unknown,Weak Passwords,Firewall,213.0
China,2019.8988766475632,Phishing,Education,151.0,271.0,Hacker Group,Unknown,Encryption,155.0
UK,2020.2387647202568,Man-in-the-Middle,IT,427.0,380.0,Unknown,Social Engineering,AI-based Detection,496.0
Brazil,2018.920629106208,SQL Injection,Healthcare,293.0,315.0,Insider,Weak Passwords,AI-based Detection,359.0
Unknown,2020.099888410984,Man-in-the-Middle,Telecommunications,287.0,318.0,Unknown,Weak Passwords,Unknown,342.0
France,2020.91995280204,Phishing,Retail,306.0,328.0,Insider,Unpatched Software,VPN,345.0
France,2019.7096269791289,Unknown,Retail,309.0,339.0,Nation-state,Social Engineering,Firewall,344.0
Australia,2018.004787660556,Malware,Telecommunications,179.0,222.0,Unknown,Zero-day,AI-based Detection,322.0
UK,2022.0210449614551,Phishing,Banking,194.0,273.0,Nation-state,Social Engineering,Unknown,190.0
USA,2017.0772892417704,Phishing,IT,189.0,231.0,Hacker Group,Zero-day,Encryption,338.0
Russia,2021.9682477583613,DDoS,Education,371.0,399.0,Nation-state,Unpatched Software,VPN,356.0
Unknown,2016.121896053205,SQL Injection,Retail,146.0,189.0,Insider,Zero-day,Firewall,329.0
China,2016.0662199877863,Ransomware,Banking,140.0,209.0,Unknown,Weak Passwords,Antivirus,272.0
UK,2020.8957592483373,Ransomware,Telecommunications,309.0,369.0,Nation-state,Social Engineering,AI-based Detection,272.0
France,2018.988309963811,Malware,Retail,306.0,347.0,Nation-state,Unpatched Software,Firewall,352.0
France,2016.0200439575813,Malware,IT,147.0,239.0,Hacker Group,Social Engineering,Antivirus,271.0
Japan,2022.996779021306,Ransomware,Education,493.0,477.0,Hacker Group,Social Engineering,AI-based Detection,430.0
China,2014.9517651117624,Phishing,Retail,267.0,265.0,Insider,Social Engineering,AI-based Detection,492.0
Germany,2022.219578410349,Malware,Banking,271.0,350.0,Insider,Social Engineering,VPN,224.0
Brazil,2020.216186622904,Man-in-the-Middle,Retail,346.0,397.0,Insider,Zero-day,Firewall,324.0
Brazil,2019.8447405752568,Phishing,Banking,287.0,,Unknown,Zero-day,Firewall,433.0
UK,,Malware,IT,287.0,318.0,Insider,Unpatched Software,AI-based Detection,402.0
China,2017.123084649736,DDoS,Healthcare,306.0,330.0,Insider,Unpatched Software,Antivirus,434.0
Brazil,2023.985384586039,DDoS,Healthcare,413.0,435.0,Insider,Unknown,Encryption,309.0
Russia,2024.058953221268,SQL Injection,Banking,269.0,346.0,Nation-state,Weak Passwords,VPN,171.0
UK,2021.962879616144,Malware,Healthcare,391.0,380.0,Insider,Weak Passwords,Firewall,398.0
UK,2019.6742373453744,Unknown,Banking,270.0,290.0,Unknown,Social Engineering,Encryption,355.0
China,2022.907616809509,DDoS,Healthcare,,449.0,Unknown,Unpatched Software,AI-based Detection,
Australia,2024.020654402373,Unknown,Healthcare,176.0,280.0,Hacker Group,Weak Passwords,Encryption,100.0
UK,2018.1143664938584,Man-in-the-Middle,Government,309.0,393.0,Nation-state,Social Engineering,VPN,312.0
Germany,2022.877700197459,SQL Injection,Education,287.0,366.0,Insider,Weak Passwords,AI-based Detection,
China,2019.8909685804715,Malware,Unknown,289.0,322.0,Insider,Unpatched Software,VPN,323.0
USA,2018.8369490976008,DDoS,Telecommunications,215.0,256.0,Unknown,Unpatched Software,Antivirus,312.0
USA,2021.9143219857792,Ransomware,Retail,362.0,407.0,Hacker Group,Social Engineering,Firewall,309.0
USA,2019.7106106342287,DDoS,Banking,326.0,374.0,Unknown,Social Engineering,AI-based Detection,338.0
Brazil,2017.1880207642728,DDoS,Healthcare,181.0,251.0,Unknown,Social Engineering,Firewall,293.0
Unknown,2017.0849538741284,DDoS,Government,236.0,293.0,Unknown,Unpatched Software,Antivirus,338.0
France,2014.9999746810925,SQL Injection,IT,81.0,156.0,Unknown,Weak Passwords,Firewall,304.0
France,2019.955559940713,DDoS,Telecommunications,424.0,401.0,Nation-state,Weak Passwords,Firewall,479.0
Japan,2021.1029480877776,Malware,Retail,287.0,318.0,Nation-state,Social Engineering,AI-based Detection,342.0
Russia,2014.800857473828,Man-in-the-Middle,IT,203.0,239.0,Unknown,,Firewall,401.0
UK,2021.9131777174896,Malware,Healthcare,335.0,391.0,Hacker Group,Weak Passwords,Unknown,303.0
UK,2021.1762594526328,Phishing,IT,282.0,347.0,Nation-state,Weak Passwords,VPN,273.0
India,2022.2822082623752,Malware,Telecommunications,419.0,390.0,Hacker Group,Zero-day,VPN,437.0
China,2023.0920537246177,DDoS,Government,287.0,368.0,Unknown,Unpatched Software,Antivirus,
Australia,2020.1519046672067,SQL Injection,IT,280.0,355.0,Unknown,Weak Passwords,VPN,280.0
India,2018.9967237032872,SQL Injection,Retail,329.0,367.0,Hacker Group,Unpatched Software,Firewall,388.0
Japan,2022.02389242308,Malware,Education,394.0,382.0,Nation-state,Social Engineering,Encryption,416.0
UK,2015.8955728540573,Ransomware,Healthcare,237.0,277.0,Hacker Group,Social Engineering,VPN,390.0
Australia,2021.7669243033065,SQL Injection,IT,287.0,318.0,Hacker Group,Unpatched Software,VPN,
Japan,2019.0898056677104,Malware,Telecommunications,230.0,288.0,Unknown,Social Engineering,Antivirus,286.0
USA,2014.966819863954,Man-in-the-Middle,Retail,287.0,186.0,Nation-state,Weak Passwords,Unknown,342.0
France,2020.1291296032084,Unknown,Retail,262.0,321.0,Nation-state,Social Engineering,Encryption,283.0
Japan,2017.0026044067208,SQL Injection,Education,188.0,232.0,Hacker Group,Social Engineering,AI-based Detection,341.0
India,2022.039509214895,Man-in-the-Middle,Government,303.0,351.0,Hacker Group,Social Engineering,Firewall,267.0
China,2015.976834334827,DDoS,Banking,224.0,272.0,Insider,Social Engineering,Firewall,361.0
Russia,2021.783146091054,Man-in-the-Middle,Education,244.0,298.0,Nation-state,Unpatched Software,Encryption,244.0
France,2015.797460195544,Ransomware,Healthcare,112.0,182.0,Insider,Unpatched Software,AI-based Detection,279.0
Brazil,2021.8085931080216,SQL Injection,Healthcare,274.0,325.0,Insider,Social Engineering,Encryption,244.0
China,2015.894105804438,SQL Injection,Banking,173.0,251.0,Insider,Zero-day,Firewall,298.0
Germany,2017.9376052510893,DDoS,Retail,196.0,211.0,Insider,Weak Passwords,Antivirus,354.0
Japan,2022.134917507266,DDoS,Healthcare,392.0,369.0,Nation-state,Weak Passwords,VPN,414.0
Russia,2022.929464436988,Malware,IT,408.0,378.0,Nation-state,Unknown,Encryption,419.0
UK,2017.907542544551,Ransomware,Retail,287.0,399.0,Nation-state,Weak Passwords,Antivirus,
France,2017.0533364323007,Malware,Telecommunications,175.0,252.0,Unknown,Zero-day,Antivirus,292.0
India,2019.0030127069688,SQL Injection,IT,313.0,354.0,Nation-state,Weak Passwords,VPN,365.0
Unknown,2017.225304039088,Man-in-the-Middle,Healthcare,272.0,263.0,Nation-state,Weak Passwords,AI-based Detection,431.0
Brazil,2024.1814018266668,SQL Injection,IT,365.0,422.0,Insider,Zero-day,AI-based Detection,239.0
China,2018.1356216731072,SQL Injection,Education,345.0,361.0,Nation-state,Social Engineering,Encryption,426.0
Russia,2020.855706833725,SQL Injection,Banking,406.0,434.0,Hacker Group,Unpatched Software,Antivirus,372.0
France,2014.8570540166847,Malware,Government,176.0,232.0,Hacker Group,Social Engineering,AI-based Detection,346.0
India,2020.8476328847453,SQL Injection,IT,228.0,253.0,Unknown,Zero-day,Firewall,299.0
USA,2023.0642609456763,SQL Injection,Government,238.0,325.0,Hacker Group,Zero-day,Antivirus,186.0
USA,2023.07812258706,Malware,Banking,314.0,343.0,Hacker Group,Zero-day,AI-based Detection,278.0
Brazil,2018.9409573799185,Ransomware,Healthcare,,351.0,Insider,Unpatched Software,Antivirus,342.0
China,2022.842365884892,Phishing,Banking,299.0,350.0,Nation-state,Unpatched Software,Antivirus,260.0
UK,2019.1739471245955,Ransomware,IT,295.0,325.0,Hacker Group,Zero-day,AI-based Detection,365.0
France,2017.820448323505,SQL Injection,Banking,149.0,233.0,Unknown,Weak Passwords,VPN,231.0
Brazil,2023.0494116241944,Man-in-the-Middle,Retail,355.0,371.0,Nation-state,Social Engineering,AI-based Detection,312.0
Unknown,2021.0829626812429,SQL Injection,Telecommunications,,318.0,Insider,Weak Passwords,Firewall,342.0
China,2023.0256206824004,Phishing,Banking,288.0,347.0,Nation-state,Weak Passwords,AI-based Detection,232.0
Brazil,2018.8410097698763,Unknown,Government,202.0,291.0,Unknown,Weak Passwords,Encryption,231.0
UK,2019.9746574394856,Ransomware,Unknown,372.0,363.0,Unknown,Social Engineering,Firewall,414.0
Russia,2017.0966971949183,SQL Injection,Unknown,181.0,202.0,Nation-state,Unpatched Software,Encryption,370.0
India,2022.8352914154543,DDoS,Government,409.0,402.0,Unknown,Unpatched Software,Firewall,391.0
UK,2018.1436302264217,Ransomware,Retail,256.0,299.0,Hacker Group,Social Engineering,Firewall,354.0
,2021.8865270478943,Man-in-the-Middle,Government,366.0,405.0,Nation-state,Weak Passwords,Firewall,329.0
Australia,2019.1105131163897,Ransomware,Banking,258.0,278.0,Insider,Weak Passwords,Encryption,361.0
Unknown,2015.9989936741777,Phishing,IT,78.0,181.0,Unknown,Zero-day,Encryption,224.0
China,2017.9420255839968,DDoS,Telecommunications,287.0,298.0,Insider,Social Engineering,Antivirus,342.0
France,2023.793823165964,SQL Injection,Retail,416.0,410.0,Nation-state,Zero-day,Antivirus,365.0
Australia,2020.0607806341025,Man-in-the-Middle,Banking,392.0,377.0,Unknown,Unpatched Software,Encryption,435.0
USA,2021.0718355015088,Phishing,Banking,371.0,378.0,Unknown,Zero-day,Antivirus,399.0
Russia,2016.9975794861653,Man-in-the-Middle,IT,37.0,149.0,Nation-state,Weak Passwords,Firewall,169.0
Germany,2021.254003419384,Man-in-the-Middle,Banking,266.0,309.0,Nation-state,Unpatched Software,AI-based Detection,274.0
USA,2022.8697409749464,Malware,Banking,334.0,347.0,Insider,Social Engineering,AI-based Detection,329.0
USA,2016.7696678206355,Phishing,Telecommunications,363.0,362.0,Unknown,Weak Passwords,Firewall,475.0
USA,2017.1992048607003,Man-in-the-Middle,Retail,257.0,270.0,Nation-state,Social Engineering,VPN,418.0
Brazil,2015.1264883895744,SQL Injection,IT,191.0,234.0,Unknown,Unpatched Software,Firewall,371.0
Australia,2014.992750108136,DDoS,Education,99.0,181.0,Nation-state,Weak Passwords,Antivirus,281.0
China,2024.0778191526044,SQL Injection,Education,394.0,388.0,Unknown,Zero-day,Encryption,344.0
Japan,2016.1218831827696,Man-in-the-Middle,IT,181.0,227.0,Insider,Unpatched Software,Antivirus,346.0
Germany,2015.0754914434767,DDoS,IT,222.0,301.0,Unknown,Social Engineering,AI-based Detection,335.0
Japan,2017.0365554973853,Phishing,Telecommunications,87.0,188.0,Hacker Group,Weak Passwords,AI-based Detection,203.0
UK,2021.0770650579093,Phishing,Banking,311.0,347.0,Insider,Social Engineering,VPN,316.0
UK,2022.641865349549,DDoS,Education,444.0,370.0,Insider,Social Engineering,AI-based Detection,484.0
Russia,2019.8447405752568,Ransomware,Education,287.0,318.0,Hacker Group,Social Engineering,Antivirus,328.0
Japan,2014.985157558941,Phishing,Education,287.0,221.0,Unknown,Zero-day,VPN,342.0
Unknown,2019.044375008464,DDoS,Education,157.0,252.0,Insider,Social Engineering,VPN,201.0
USA,2015.791730758503,DDoS,Retail,204.0,275.0,Hacker Group,Social Engineering,AI-based Detection,342.0
Russia,2017.0300500133533,Malware,Government,241.0,293.0,Unknown,Zero-day,VPN,351.0
USA,2022.1868414922228,Man-in-the-Middle,Banking,450.0,418.0,Hacker Group,Weak Passwords,Antivirus,473.0
France,2020.9240202309536,Malware,Telecommunications,382.0,379.0,Hacker Group,Social Engineering,Firewall,402.0
UK,2017.9819366637464,Man-in-the-Middle,IT,255.0,310.0,Unknown,Unpatched Software,Firewall,302.0
USA,2014.9307001701416,DDoS,Healthcare,61.0,169.0,Nation-state,Weak Passwords,Antivirus,237.0
India,2014.857753597289,Malware,Retail,269.0,280.0,Unknown,Zero-day,Encryption,463.0
Unknown,2024.119002119504,SQL Injection,IT,462.0,426.0,Insider,Unpatched Software,VPN,427.0
India,2016.737995970923,Ransomware,Government,312.0,308.0,Nation-state,Weak Passwords,Antivirus,466.0
Brazil,2015.005304340512,DDoS,Banking,,318.0,Unknown,Weak Passwords,Firewall,342.0
Australia,2019.1889606069567,DDoS,Education,253.0,288.0,Insider,Unpatched Software,Firewall,341.0
UK,2015.2495200011035,Man-in-the-Middle,Retail,220.0,260.0,Nation-state,Social Engineering,Firewall,384.0
Brazil,2018.1023910425,Phishing,Education,216.0,267.0,Nation-state,Zero-day,Antivirus,304.0
Japan,2021.060116760326,Man-in-the-Middle,Retail,387.0,392.0,Hacker Group,Weak Passwords,Encryption,390.0
France,2014.9417896947384,Ransomware,IT,196.0,238.0,Unknown,Social Engineering,Firewall,384.0
Russia,2015.758147372232,SQL Injection,Government,,,Hacker Group,Weak Passwords,VPN,342.0
Japan,2022.85416970116,Phishing,Healthcare,355.0,397.0,Hacker Group,Weak Passwords,Firewall,287.0
China,2020.9059812330825,Man-in-the-Middle,Unknown,304.0,348.0,Insider,Weak Passwords,AI-based Detection,278.0
Brazil,2020.1822962635665,Malware,Retail,406.0,363.0,Nation-state,Weak Passwords,AI-based Detection,507.0
Germany,2017.975254619524,Man-in-the-Middle,Retail,88.0,180.0,Hacker Group,Zero-day,Firewall,198.0
Brazil,2019.678621281398,Phishing,Banking,256.0,283.0,Hacker Group,Zero-day,Encryption,331.0
Japan,2018.9382416075823,Malware,IT,228.0,239.0,Nation-state,Weak Passwords,Antivirus,341.0
Australia,2015.258252720412,Malware,Banking,129.0,224.0,Insider,Social Engineering,Antivirus,281.0
Brazil,,Phishing,Banking,287.0,318.0,Insider,Weak Passwords,VPN,434.0
Brazil,2021.060517109796,Ransomware,Healthcare,298.0,320.0,Nation-state,Unknown,AI-based Detection,335.0
Japan,2019.866394458656,SQL Injection,Telecommunications,277.0,306.0,Hacker Group,Social Engineering,Encryption,343.0
Germany,2019.9700666244848,Malware,Government,272.0,315.0,Insider,Zero-day,,304.0
China,2017.0089977165,Phishing,Healthcare,189.0,261.0,Unknown,Unpatched Software,Firewall,297.0
Brazil,2022.7762815186568,SQL Injection,Telecommunications,409.0,379.0,Insider,Weak Passwords,Encryption,419.0
Brazil,2017.77984336344,SQL Injection,Retail,159.0,211.0,Insider,Unpatched Software,Firewall,292.0
UK,2015.939964343373,SQL Injection,Telecommunications,237.0,305.0,Insider,Weak Passwords,Firewall,343.0
Japan,2022.0105985005853,SQL Injection,Retail,396.0,387.0,Nation-state,Weak Passwords,AI-based Detection,403.0
China,2014.8046376585744,Ransomware,Government,133.0,214.0,Unknown,Zero-day,AI-based Detection,295.0
Japan,2017.0061174273123,Malware,Education,287.0,357.0,Insider,Zero-day,AI-based Detection,342.0
USA,2017.8433585272548,DDoS,IT,309.0,330.0,Insider,Unknown,Firewall,394.0
Brazil,,Malware,Retail,287.0,,Unknown,Unpatched Software,AI-based Detection,291.0
USA,2016.250547477868,Malware,Banking,141.0,197.0,Hacker Group,Unknown,AI-based Detection,302.0
China,2021.939546789708,Ransomware,Education,284.0,301.0,Hacker Group,Social Engineering,Firewall,307.0
India,2019.0716263514664,DDoS,Banking,295.0,324.0,Unknown,Weak Passwords,Antivirus,362.0
China,2019.911893540297,Ransomware,Banking,176.0,230.0,Hacker Group,Unpatched Software,VPN,251.0
UK,2015.9502697128469,Ransomware,Government,258.0,269.0,Nation-state,Social Engineering,Firewall,439.0
USA,2022.9027224629765,SQL Injection,Unknown,392.0,405.0,Nation-state,Zero-day,AI-based Detection,342.0
UK,2023.8078522255173,Man-in-the-Middle,Government,375.0,404.0,Hacker Group,Unpatched Software,VPN,291.0
China,2022.2148294725232,DDoS,Unknown,361.0,406.0,Unknown,Zero-day,AI-based Detection,298.0
Australia,2017.016989927574,Malware,Banking,336.0,328.0,Hacker Group,Weak Passwords,Antivirus,466.0
China,2020.9571094363191,Ransomware,Government,271.0,285.0,Nation-state,Weak Passwords,AI-based Detection,333.0
Australia,2023.0890561564547,Unknown,Telecommunications,324.0,347.0,Nation-state,Unpatched Software,Firewall,302.0
India,2015.7693499311224,Man-in-the-Middle,Unknown,184.0,290.0,Nation-state,Zero-day,VPN,256.0
Australia,2021.265340432272,Man-in-the-Middle,Banking,407.0,365.0,Insider,Weak Passwords,Antivirus,474.0
Brazil,2017.230150745832,Malware,Telecommunications,183.0,264.0,Unknown,Zero-day,Encryption,276.0
USA,2019.8251035327376,DDoS,Retail,383.0,391.0,Unknown,Zero-day,VPN,430.0
France,2020.962007463844,Phishing,Retail,411.0,369.0,Nation-state,Social Engineering,Encryption,488.0
India,2024.176630186337,Malware,Healthcare,362.0,371.0,Unknown,Zero-day,AI-based Detection,324.0
Australia,2016.919092379009,SQL Injection,IT,245.0,312.0,Hacker Group,Unknown,Firewall,339.0
